Category,Event,Venue,TicketRequired,PriceRange,Latitude,Longitude,Available From,Available To,URL
Teatro,Neo Artic,Auditorio del Estado,Sí,$640-$1200,21.012995723533,-101.274450210991,12:00,13:30,https://festivalcervantino.gob.mx/actividad/1280/neoarctic
Música,Voces Distantes (Cello),Templo del Señor Santiago Apostol en Márfil,Sí,$410-$580,21.0023631506226,-101.28275550542,13:30,14:30,https://festivalcervantino.gob.mx/actividad/1236/voces-distantes-siempre-presentes
Danza,Ballet - Giselle ,Teatro Principal,Sí,Ya no hay,21.0157655834594,-101.251703786645,18:00,19:30,https://festivalcervantino.gob.mx/actividad/1310/em-giselle-las-que-no-volvieron-em
Teatro,Neo Artic,Auditorio del Estado,Sí,$640-$1200,21.012995723533,-101.274450210991,20:00,21:30,https://festivalcervantino.gob.mx/actividad/1280/neoarctic
Música,Nati Pelusa,Parque Los Pastitos,No,,21.0172707942713,-101.263770665991,22:00,23:00,https://festivalcervantino.gob.mx/actividad/1249/grasa-tour
Exposición Arte,Pollution Pods,Parque Los Pastitos,No,,21.0172707942713,-101.263770665991,06:00,23:59,https://festivalcervantino.gob.mx/actividad/1301/pollution-pods
Pintura,Diego Rivera Exposición,Museo Casa Diego Rivera,No,,21.0182628795647,-101.255135700056,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1427/diego-rivera-formas-de-su-imaginario
Pintura,Diego Rivera 2: Ahora es personal,Museo Casa Diego Rivera,No,,21.0182628795647,-101.255135700056,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1428/diego-rivera-y-su-relacion-con-veracruz
Pintura,Kahlo Sin Fronteras,Museo Casa Diego Rivera,No,,21.0182628795647,-101.255135700056,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1433/kahlo-sin-fronteras
Exposición Arte,Rumores de la noche,Museo Casa Diego Rivera,No,,21.0182628795647,-101.255135700056,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1434/rumores-de-la-noche-elisa-malo
Música,El Bajío se tiñe de Huapango,"Ex. Hda. San Gabriel de Barrer
",No,,21.0110011095807,-101.271144270817,12:00,13:00,https://festivalcervantino.gob.mx/actividad/1245/el-bajio-se-tine-de-huapango
Cine,La Laguna Rosa,Antiguo Patio del Hospicio de la Santísima Trinidad,No,,21.0172276963877,-101.252926300177,12:00,13:30,https://festivalcervantino.gob.mx/actividad/1361/la-laguna-rosa-2022
Exposición Arte,La mayólica de Gorky González,Museo del Pueblo de Guanajuato,No,,21.0171645612071,-101.253899960325,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1435/la-mayolica-de-gorky-gonzalez-una-tradicion-que-vive
Exposición Cerámica,Dolores Porras. Taller de cerámica,Museo del Pueblo de Guanajuato,No,,21.0171645612071,-101.253899960325,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1436/dolores-porras-taller-de-ceramica
Exposición Arte,Grandes Maestros del Arte Popular de Guanajuato y Veracruz,Museo del Pueblo de Guanajuato,No,,21.0171645612071,-101.253899960325,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1437/dialogo-entre-los-grandes-maestros-del-arte-popular-de-guanajuato-y-veracruz
Escultura,"Kiyoto Ota, Gaia",Museo Palacio de los Poderes,No,,21.0171921350203,-101.254722086517,10:00,17:00,https://festivalcervantino.gob.mx/actividad/1439/kiyoto-ota-gaia
